input_id	dealiased_id	standard_id	short_id
ipbes2019	ipbes2019	ipbes2019	ujOAXFXq
doi:10.1038/s41559-020-1198-2	doi:10.1038/s41559-020-1198-2	doi:10.1038/s41559-020-1198-2	lIWvxu7X
doi:10.1038/s41559-020-1176-8	doi:10.1038/s41559-020-1176-8	doi:10.1038/s41559-020-1176-8	fo5RbFoe
doi:10.1126/science.aai9214	doi:10.1126/science.aai9214	doi:10.1126/science.aai9214	13Nf0O7IH
doi:10.1111/brv.12344	doi:10.1111/brv.12344	doi:10.1111/brv.12344	13fOt4hpD
doi:10.1038/nature06536	doi:10.1038/nature06536	doi:10.1038/nature06536	18Xys58dr
doi:10.1016/j.ttbdis.2010.10.006	doi:10.1016/j.ttbdis.2010.10.006	doi:10.1016/j.ttbdis.2010.10.006	4aj0SFCz
doi:10.1126/science.1244325	doi:10.1126/science.1244325	doi:10.1126/science.1244325	JlwE7DY
doi:10.1126/science.1156831	doi:10.1126/science.1156831	doi:10.1126/science.1156831	tQzSHEhO
doi:10.3732/ajb.1000364	doi:10.3732/ajb.1000364	doi:10.3732/ajb.1000364	rl5NoHbL
doi:10.1073/pnas.1711842115	doi:10.1073/pnas.1711842115	doi:10.1073/pnas.1711842115	MBdaTufv
doi:10.1016/j.oneear.2020.09.010	doi:10.1016/j.oneear.2020.09.010	doi:10.1016/j.oneear.2020.09.010	wZ516hzt
doi:10.7287/peerj.preprints.2615v2	doi:10.7287/peerj.preprints.2615v2	doi:10.7287/peerj.preprints.2615v2	3LvKVtQk
doi:10.1111/jbi.13623	doi:10.1111/jbi.13623	doi:10.1111/jbi.13623	FIKVKzxT
doi:10.1371/journal.pbio.1000385	doi:10.1371/journal.pbio.1000385	doi:10.1371/journal.pbio.1000385	98bdztha
Stebler1893	Stebler1893	Stebler1893	1BpTkQN7F
doi:10.1111/avsc.12191	doi:10.1111/avsc.12191	doi:10.1111/avsc.12191	13XEo9Ehx
doi:10.1890/07-2153.1	doi:10.1890/07-2153.1	doi:10.1890/07-2153.1	je27ySHK
doi:10.1111/gcb.14030	doi:10.1111/gcb.14030	doi:10.1111/gcb.14030	CHqNls3u
doi:10.1038/s41586-018-0005-6	doi:10.1038/s41586-018-0005-6	doi:10.1038/s41586-018-0005-6	DYKZij81
doi:10.1111/j.1654-1103.2011.01318.x	doi:10.1111/j.1654-1103.2011.01318.x	doi:10.1111/j.1654-1103.2011.01318.x	m4MWjJlQ
doi:10.1371/journal.pbio.3000183	doi:10.1371/journal.pbio.3000183	doi:10.1371/journal.pbio.3000183	ifq523bf
doi:10.1038/s41559-018-0699-8	doi:10.1038/s41559-018-0699-8	doi:10.1038/s41559-018-0699-8	16aiK8oMe
doi:10.1111/geb.12501	doi:10.1111/geb.12501	doi:10.1111/geb.12501	YjvvfgRp
doi:10.1111/jvs.12419	doi:10.1111/jvs.12419	doi:10.1111/jvs.12419	rjsxSZNm
doi:10.1111/jvs.12710	doi:10.1111/jvs.12710	doi:10.1111/jvs.12710	1H3M9kGrz
https://doi.org/10.1111/gcb.14904	https://doi.org/10.1111/gcb.14904	url:https://doi.org/10.1111/gcb.14904	ZDJVwbgL
doi:10.1111/jbi.13782	doi:10.1111/jbi.13782	doi:10.1111/jbi.13782	11HVotIMP
doi:10.1111/geb.13027	doi:10.1111/geb.13027	doi:10.1111/geb.13027	V7f9MqZn
PeetLeeBoyle2012	PeetLeeBoyle2012	PeetLeeBoyle2012	Z45Iy68J
Peet2012	Peet2012	Peet2012	14G4m2XBL
doi:10.1111/j.1654-1103.2011.01265.x	doi:10.1111/j.1654-1103.2011.01265.x	doi:10.1111/j.1654-1103.2011.01265.x	10JGA84o5
doi:10.1111/ecog.00967	doi:10.1111/ecog.00967	doi:10.1111/ecog.00967	1E7D836xD
doi:10.1038/sdata.2017.122	doi:10.1038/sdata.2017.122	doi:10.1038/sdata.2017.122	4Sku0cWo
https://doi.org/10.6084/m9.figshare.7707605.v3	https://doi.org/10.6084/m9.figshare.7707605.v3	url:https://doi.org/10.6084/m9.figshare.7707605.v3	3CLAO6D0
doi:10.1371/journal.pone.0169748	doi:10.1371/journal.pone.0169748	doi:10.1371/journal.pone.0169748	15wnpddE0
doi:10.1111/j.1654-1103.2010.01225.x	doi:10.1111/j.1654-1103.2010.01225.x	doi:10.1111/j.1654-1103.2010.01225.x	1696xA7Nc
doi:10.1111/j.1466-8238.2011.00756.x	doi:10.1111/j.1466-8238.2011.00756.x	doi:10.1111/j.1466-8238.2011.00756.x	ljgzJIj3
https://doi.org/10.1023/A:1004327224729	https://doi.org/10.1023/A:1004327224729	url:https://doi.org/10.1023/A:1004327224729	kH3RyPni
doi:10.1111/1365-2745.12211	doi:10.1111/1365-2745.12211	doi:10.1111/1365-2745.12211	UTp0YAl7
doi:10.1109/ICMLA.2014.56	doi:10.1109/ICMLA.2014.56	doi:10.1109/icmla.2014.56	hjYkCVfm
doi:10.1111/geb.12335	doi:10.1111/geb.12335	doi:10.1111/geb.12335	Jwoo53rF
doi:10.1016/bs.aecr.2015.02.001	doi:10.1016/bs.aecr.2015.02.001	doi:10.1016/bs.aecr.2015.02.001	bU88kzBb
doi:10.2307/3237010	doi:10.2307/3237010	doi:10.2307/3237010	GMLTnQJb
doi:10.1186/1471-2105-14-16	doi:10.1186/1471-2105-14-16	doi:10.1186/1471-2105-14-16	csCGZTsC
doi:10.5281/zenodo.845445	doi:10.5281/zenodo.845445	doi:10.5281/zenodo.845445	sPgNqcvy
